hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,GTO Baseline,4,4,10000000002
0,Callbox,-1,-1,9999999998
1,Callbox,4,3,10000000000
1,GTO Baseline,-1,3,10000000000
2,GTO Baseline,2,5,10000000000
2,Callbox,1,4,10000000000
3,Callbox,0,4,9999999998
3,GTO Baseline,3,8,10000000002
4,GTO Baseline,0,8,10000000000
4,Callbox,3,7,10000000000
5,Callbox,-4,3,9999999994
5,GTO Baseline,7,15,10000000006
6,GTO Baseline,0,15,10000000004
6,Callbox,3,6,9999999996
7,Callbox,0,6,9999999994
7,GTO Baseline,3,18,10000000006
8,GTO Baseline,0,18,10000000004
8,Callbox,3,9,9999999996
9,Callbox,21,30,10000000015
9,GTO Baseline,-18,0,9999999985
10,GTO Baseline,72,72,10000000055
10,Callbox,-69,-39,9999999945
11,Callbox,4,-35,9999999947
11,GTO Baseline,-1,71,10000000053
12,GTO Baseline,-4,67,10000000047
12,Callbox,7,-28,9999999953
13,Callbox,-204,-232,9999999747
13,GTO Baseline,207,274,10000000253
14,GTO Baseline,-19,255,10000000232
14,Callbox,22,-210,9999999768
15,Callbox,-16,-226,9999999750
15,GTO Baseline,19,274,10000000250
16,GTO Baseline,-72,202,10000000176
16,Callbox,75,-151,9999999824
17,Callbox,-4,-155,9999999818
17,GTO Baseline,7,209,10000000182
18,GTO Baseline,-72,137,10000000108
18,Callbox,75,-80,9999999892
19,Callbox,4,-76,9999999894
19,GTO Baseline,-1,136,10000000106
20,GTO Baseline,221,357,10000000325
20,Callbox,-218,-294,9999999675
21,Callbox,-145,-439,9999999528
21,GTO Baseline,148,505,10000000472
22,GTO Baseline,-54,451,10000000416
22,Callbox,57,-382,9999999584
23,Callbox,4,-378,9999999586
23,GTO Baseline,-1,450,10000000414
24,GTO Baseline,-4,446,10000000408
24,Callbox,7,-371,9999999592
25,Callbox,-10,-381,9999999580
25,GTO Baseline,13,459,10000000420
26,GTO Baseline,4,463,10000000422
26,Callbox,-1,-382,9999999578
27,Callbox,2,-380,9999999578
27,GTO Baseline,1,464,10000000422
