hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,GTO Baseline,8,8,10000000006
0,GTO Baseline2,-5,-5,9999999994
1,GTO Baseline2,2,-3,9999999994
1,GTO Baseline,1,9,10000000006
2,GTO Baseline,-3357030641,-3357030632,6642969363
2,GTO Baseline2,3357030644,3357030641,13357030637
3,GTO Baseline2,58,3357030699,13357030693
3,GTO Baseline,-55,-3357030687,6642969307
4,GTO Baseline,6642969309,3285938622,13285938614
4,GTO Baseline2,-6642969306,-3285938607,6714061386
5,GTO Baseline2,57,-3285938550,6714061441
5,GTO Baseline,-54,3285938568,13285938559
6,GTO Baseline,4,3285938572,13285938561
6,GTO Baseline2,-1,-3285938551,6714061439
7,GTO Baseline2,4,-3285938547,6714061441
7,GTO Baseline,-1,3285938571,13285938559
8,GTO Baseline,-4,3285938567,13285938553
8,GTO Baseline2,7,-3285938540,6714061447
9,GTO Baseline2,6,-3285938534,6714061451
9,GTO Baseline,-3,3285938564,13285938549
10,GTO Baseline,-139,3285938425,13285938408
10,GTO Baseline2,142,-3285938392,6714061592
11,GTO Baseline2,117,-3285938275,6714061707
11,GTO Baseline,-114,3285938311,13285938293
12,GTO Baseline,-6714061705,-3428123394,6571876586
12,GTO Baseline2,-6714061706,-9999999981,0
