hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,GTO Baseline,-53,-53,99945
0,Callbox,56,56,100055
1,Callbox,-17,39,100036
1,GTO Baseline,20,-33,99964
2,GTO Baseline,-203,-236,99759
2,Callbox,206,245,100241
3,Callbox,4,249,100243
3,GTO Baseline,-1,-237,99757
4,GTO Baseline,0,-237,99755
4,Callbox,3,252,100245
5,Callbox,-113,139,100130
5,GTO Baseline,116,-121,99870
6,GTO Baseline,4,-117,99872
6,Callbox,-1,138,100128
7,Callbox,0,138,100126
7,GTO Baseline,3,-114,99874
8,GTO Baseline,59,-55,99931
8,Callbox,-56,82,100069
9,Callbox,4,86,100071
9,GTO Baseline,-1,-56,99929
10,GTO Baseline,69,13,99996
10,Callbox,-66,20,100004
11,Callbox,7,27,100009
11,GTO Baseline,-4,9,99991
12,GTO Baseline,-140,-131,99849
12,Callbox,143,170,100151
13,Callbox,143,313,100292
13,GTO Baseline,-140,-271,99708
14,GTO Baseline,0,-271,99706
14,Callbox,3,316,100294
15,Callbox,0,316,100292
15,GTO Baseline,3,-268,99708
16,GTO Baseline,-4,-272,99702
16,Callbox,7,323,100298
17,Callbox,8,331,100304
17,GTO Baseline,-5,-277,99696
18,GTO Baseline,69,-208,99763
18,Callbox,-66,265,100237
19,Callbox,4,269,100239
19,GTO Baseline,-1,-209,99761
20,GTO Baseline,0,-209,99759
20,Callbox,3,272,100241
21,Callbox,20,292,100259
21,GTO Baseline,-17,-226,99741
22,GTO Baseline,0,-226,99739
22,Callbox,3,295,100261
23,Callbox,17,312,100276
23,GTO Baseline,-14,-240,99724
24,GTO Baseline,-53,-293,99669
24,Callbox,56,368,100331
25,Callbox,177,545,100506
25,GTO Baseline,-174,-467,99494
26,GTO Baseline,8,-459,99500
26,Callbox,-5,540,100500
27,Callbox,62,602,100560
27,GTO Baseline,-59,-518,99440
28,GTO Baseline,0,-518,99438
28,Callbox,3,605,100562
29,Callbox,8,613,100568
29,GTO Baseline,-5,-523,99432
30,GTO Baseline,23,-500,99453
30,Callbox,-20,593,100547
31,Callbox,4,597,100549
31,GTO Baseline,-1,-501,99451
32,GTO Baseline,0,-501,99449
32,Callbox,3,600,100551
33,Callbox,58,658,100607
33,GTO Baseline,-55,-556,99393
34,GTO Baseline,-4,-560,99387
34,Callbox,7,665,100613
35,Callbox,2,667,100613
35,GTO Baseline,1,-559,99387
36,GTO Baseline,-19,-578,99366
36,Callbox,22,689,100634
37,Callbox,-16,673,100616
37,GTO Baseline,19,-559,99384
38,GTO Baseline,-112,-671,99270
38,Callbox,115,788,100730
39,Callbox,8,796,100736
39,GTO Baseline,-5,-676,99264
40,GTO Baseline,0,-676,99262
40,Callbox,3,799,100738
41,Callbox,-4,795,100732
41,GTO Baseline,7,-669,99268
42,GTO Baseline,0,-669,99266
42,Callbox,3,798,100734
43,Callbox,4,802,100736
43,GTO Baseline,-1,-670,99264
44,GTO Baseline,4,-666,99266
44,Callbox,-1,801,100734
45,Callbox,64,865,100796
45,GTO Baseline,-61,-727,99204
46,GTO Baseline,4,-723,99206
46,Callbox,-1,864,100794
47,Callbox,4,868,100796
47,GTO Baseline,-1,-724,99204
48,GTO Baseline,20,-704,99222
48,Callbox,-17,851,100778
49,Callbox,-61,790,100715
49,GTO Baseline,64,-640,99285
50,GTO Baseline,-16,-656,99267
50,Callbox,19,809,100733
51,Callbox,-53,756,100678
51,GTO Baseline,56,-600,99322
52,GTO Baseline,206,-394,99526
52,Callbox,-203,553,100474
53,Callbox,20,573,100492
53,GTO Baseline,-17,-411,99508
54,GTO Baseline,4,-407,99510
54,Callbox,-1,572,100490
55,Callbox,8,580,100496
55,GTO Baseline,-5,-412,99504
56,GTO Baseline,147,-265,99649
56,Callbox,-144,436,100351
57,Callbox,20,456,100369
57,GTO Baseline,-17,-282,99631
58,GTO Baseline,0,-282,99629
58,Callbox,3,459,100371
59,Callbox,7,466,100376
59,GTO Baseline,-4,-286,99624
60,GTO Baseline,8,-278,99630
60,Callbox,-5,461,100370
61,Callbox,4,465,100372
61,GTO Baseline,-1,-279,99628
62,GTO Baseline,4,-275,99630
62,Callbox,-1,464,100370
63,Callbox,-57,407,100311
63,GTO Baseline,60,-215,99689
64,GTO Baseline,22,-193,99709
64,Callbox,-19,388,100291
65,Callbox,-155,233,100134
65,GTO Baseline,158,-35,99866
66,GTO Baseline,20,-15,99884
66,Callbox,-17,216,100116
67,Callbox,8,224,100122
67,GTO Baseline,-5,-20,99878
68,GTO Baseline,-35,-55,99841
68,Callbox,38,262,100159
69,Callbox,4,266,100161
69,GTO Baseline,-1,-56,99839
70,GTO Baseline,0,-56,99837
70,Callbox,3,269,100163
71,Callbox,0,269,100161
71,GTO Baseline,3,-53,99839
72,GTO Baseline,-4,-57,99833
72,Callbox,7,276,100167
73,Callbox,4,280,100169
73,GTO Baseline,-1,-58,99831
74,GTO Baseline,0,-58,99829
74,Callbox,3,283,100171
75,Callbox,6,289,100175
75,GTO Baseline,-3,-61,99825
76,GTO Baseline,0,-61,99823
76,Callbox,3,292,100177
77,Callbox,4,296,100179
77,GTO Baseline,-1,-62,99821
78,GTO Baseline,0,-62,99819
78,Callbox,3,299,100181
79,Callbox,-19,280,100160
