hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,GTO Baseline,59,59,10000000057
0,GTO Baseline2,-56,-56,9999999943
1,GTO Baseline2,65,9,10000000006
1,GTO Baseline,-62,-3,9999999994
2,GTO Baseline,20,17,10000000012
2,GTO Baseline2,-17,-8,9999999988
3,GTO Baseline2,3887338849,3887338841,13887338835
3,GTO Baseline,-3887338846,-3887338829,6112661165
4,GTO Baseline,7,-3887338822,6112661170
4,GTO Baseline2,-4,3887338837,13887338830
5,GTO Baseline2,20,3887338857,13887338848
5,GTO Baseline,-17,-3887338839,6112661152
6,GTO Baseline,-6112661150,-9999999989,0
6,GTO Baseline2,-6112661151,-2225322294,7774677696
