hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,CFR-GTO,-66,-66,932
0,Heuristic-GTO,69,69,1068
1,Heuristic-GTO,0,69,1066
1,CFR-GTO,3,-63,934
2,CFR-GTO,-4,-67,928
2,Heuristic-GTO,7,76,1072
3,Heuristic-GTO,8,84,1078
3,CFR-GTO,-5,-72,922
4,CFR-GTO,-67,-139,853
4,Heuristic-GTO,70,154,1147
5,Heuristic-GTO,8,162,1153
5,CFR-GTO,-5,-144,847
6,CFR-GTO,4,-140,849
6,Heuristic-GTO,-1,161,1151
7,Heuristic-GTO,-175,-14,974
7,CFR-GTO,178,38,1026
8,CFR-GTO,75,113,1099
8,Heuristic-GTO,-72,-86,901
9,Heuristic-GTO,77,-9,976
9,CFR-GTO,-74,39,1024
10,CFR-GTO,8,47,1030
10,Heuristic-GTO,-5,-14,970
11,Heuristic-GTO,184,170,1152
11,CFR-GTO,-181,-134,848
12,CFR-GTO,8,-126,854
12,Heuristic-GTO,-5,165,1146
13,Heuristic-GTO,4,169,1148
13,CFR-GTO,-1,-127,852
14,CFR-GTO,64,-63,914
14,Heuristic-GTO,-61,108,1086
15,Heuristic-GTO,-4,104,1080
15,CFR-GTO,7,-56,920
16,CFR-GTO,-57,-113,861
16,Heuristic-GTO,60,164,1139
17,Heuristic-GTO,59,223,1196
17,CFR-GTO,-56,-169,804
18,CFR-GTO,-69,-238,733
18,Heuristic-GTO,72,295,1267
19,Heuristic-GTO,2,297,1267
19,CFR-GTO,1,-237,733
20,CFR-GTO,-4,-241,727
20,Heuristic-GTO,7,304,1273
21,Heuristic-GTO,4,308,1275
21,CFR-GTO,-1,-242,725
22,CFR-GTO,-54,-296,669
22,Heuristic-GTO,57,365,1331
23,Heuristic-GTO,0,365,1329
23,CFR-GTO,3,-293,671
24,CFR-GTO,0,-293,669
24,Heuristic-GTO,3,368,1331
25,Heuristic-GTO,-113,255,1216
25,CFR-GTO,116,-177,784
26,CFR-GTO,4,-173,786
26,Heuristic-GTO,-1,254,1214
27,Heuristic-GTO,8,262,1220
27,CFR-GTO,-5,-178,780
28,CFR-GTO,4,-174,782
28,Heuristic-GTO,-1,261,1218
29,Heuristic-GTO,54,315,1270
29,CFR-GTO,-51,-225,730
30,CFR-GTO,8,-217,736
30,Heuristic-GTO,-5,310,1264
31,Heuristic-GTO,-53,257,1209
31,CFR-GTO,56,-161,791
32,CFR-GTO,4,-157,793
32,Heuristic-GTO,-1,256,1207
33,Heuristic-GTO,73,329,1278
33,CFR-GTO,-70,-227,722
34,CFR-GTO,8,-219,728
34,Heuristic-GTO,-5,324,1272
35,Heuristic-GTO,0,324,1270
35,CFR-GTO,3,-216,730
36,CFR-GTO,-16,-232,712
36,Heuristic-GTO,19,343,1288
37,Heuristic-GTO,-72,271,1214
37,CFR-GTO,75,-157,786
38,CFR-GTO,4,-153,788
38,Heuristic-GTO,-1,270,1212
39,Heuristic-GTO,58,328,1268
39,CFR-GTO,-55,-208,732
40,CFR-GTO,64,-144,794
40,Heuristic-GTO,-61,267,1206
41,Heuristic-GTO,71,338,1275
41,CFR-GTO,-68,-212,725
42,CFR-GTO,4,-208,727
42,Heuristic-GTO,-1,337,1273
43,Heuristic-GTO,189,526,1460
43,CFR-GTO,-186,-394,540
44,CFR-GTO,4,-390,542
44,Heuristic-GTO,-1,525,1458
45,Heuristic-GTO,-55,470,1401
45,CFR-GTO,58,-332,599
46,CFR-GTO,58,-274,655
46,Heuristic-GTO,-55,415,1345
47,Heuristic-GTO,0,415,1343
47,CFR-GTO,3,-271,657
48,CFR-GTO,0,-271,655
48,Heuristic-GTO,3,418,1345
49,Heuristic-GTO,8,426,1351
49,CFR-GTO,-5,-276,649
