hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,GTO Baseline,0,0,9999999998
0,GTO Baseline2,3,3,10000000002
1,GTO Baseline2,-54,-51,9999999946
1,GTO Baseline,57,57,10000000054
2,GTO Baseline,8,65,10000000060
2,GTO Baseline2,-5,-56,9999999940
3,GTO Baseline2,119,63,10000000057
3,GTO Baseline,-116,-51,9999999943
4,GTO Baseline,4,-47,9999999945
4,GTO Baseline2,-1,62,10000000055
5,GTO Baseline2,3955061260,3955061322,13955061313
5,GTO Baseline,-3955061257,-3955061304,6044938687
6,GTO Baseline,-6044938685,-9999999989,0
6,GTO Baseline2,-6044938686,-2089877364,7910122626
