hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,GTO Baseline,4,4,100002
0,Callbox,-1,-1,99998
1,Callbox,0,-1,99996
1,GTO Baseline,3,7,100004
2,GTO Baseline,-68,-61,99934
2,Callbox,71,70,100066
3,Callbox,4,74,100068
3,GTO Baseline,-1,-62,99932
4,GTO Baseline,20,-42,99950
4,Callbox,-17,57,100050
5,Callbox,4,61,100052
5,GTO Baseline,-1,-43,99948
6,GTO Baseline,0,-43,99946
6,Callbox,3,64,100054
7,Callbox,4,68,100056
7,GTO Baseline,-1,-44,99944
8,GTO Baseline,4,-40,99946
8,Callbox,-1,67,100054
9,Callbox,-62,5,99990
9,GTO Baseline,65,25,100010
10,GTO Baseline,0,25,100008
10,Callbox,3,8,99992
11,Callbox,-64,-56,99926
11,GTO Baseline,67,92,100074
12,GTO Baseline,0,92,100072
12,Callbox,3,-53,99928
13,Callbox,2,-51,99928
13,GTO Baseline,1,93,100072
14,GTO Baseline,4,97,100074
14,Callbox,-1,-52,99926
15,Callbox,8,-44,99932
15,GTO Baseline,-5,92,100068
16,GTO Baseline,-54,38,100012
16,Callbox,57,13,99988
17,Callbox,-194,-181,99792
17,GTO Baseline,197,235,100208
18,GTO Baseline,69,304,100275
18,Callbox,-66,-247,99725
19,Callbox,20,-227,99743
19,GTO Baseline,-17,287,100257
20,GTO Baseline,4,291,100259
20,Callbox,-1,-228,99741
21,Callbox,4,-224,99743
21,GTO Baseline,-1,290,100257
22,GTO Baseline,-3,287,100252
22,Callbox,6,-218,99748
23,Callbox,8,-210,99754
23,GTO Baseline,-5,282,100246
24,GTO Baseline,4,286,100248
24,Callbox,-1,-211,99752
25,Callbox,8,-203,99758
25,GTO Baseline,-5,281,100242
26,GTO Baseline,221,502,100461
26,Callbox,-218,-421,99539
27,Callbox,0,-421,99537
27,GTO Baseline,3,505,100463
28,GTO Baseline,0,505,100461
28,Callbox,3,-418,99539
29,Callbox,0,-418,99537
29,GTO Baseline,3,508,100463
30,GTO Baseline,-4,504,100457
30,Callbox,7,-411,99543
31,Callbox,-57,-468,99484
31,GTO Baseline,60,564,100516
32,GTO Baseline,-65,499,100449
32,Callbox,68,-400,99551
33,Callbox,4,-396,99553
33,GTO Baseline,-1,498,100447
34,GTO Baseline,203,701,100648
34,Callbox,-200,-596,99352
35,Callbox,20,-576,99370
35,GTO Baseline,-17,684,100630
36,GTO Baseline,-53,631,100575
36,Callbox,56,-520,99425
37,Callbox,0,-520,99423
37,GTO Baseline,3,634,100577
38,GTO Baseline,4,638,100579
38,Callbox,-1,-521,99421
39,Callbox,4,-517,99423
39,GTO Baseline,-1,637,100577
40,GTO Baseline,4,641,100579
40,Callbox,-1,-518,99421
41,Callbox,8,-510,99427
41,GTO Baseline,-5,636,100573
42,GTO Baseline,182,818,100753
42,Callbox,-179,-689,99247
43,Callbox,0,-689,99245
43,GTO Baseline,3,821,100755
44,GTO Baseline,-4,817,100749
44,Callbox,7,-682,99251
45,Callbox,0,-682,99249
45,GTO Baseline,3,820,100751
46,GTO Baseline,62,882,100811
46,Callbox,-59,-741,99189
47,Callbox,4,-737,99191
47,GTO Baseline,-1,881,100809
48,GTO Baseline,200,1081,101007
48,Callbox,-197,-934,98993
49,Callbox,4,-930,98995
49,GTO Baseline,-1,1080,101005
50,GTO Baseline,0,1080,101003
50,Callbox,3,-927,98997
51,Callbox,8,-919,99003
